# Logger type: CL1000
# HW rev: 8.1x
# FW rev: 5.86
# Logger ID: id0001
# Session No.: 286
# Split No.: 1
# Time: 20000101T000007
# Value separator: ";"
# Time format: 3
# Time separator: ":"
# Time separator ms: ""
# Date separator: ""
# Time and date separator: "T"
# Bit-rate: 1000000
# Silent mode: false
# Cyclic mode: true
Timestamp;Type;ID;Data
00:00:08084;1;1a000003;e8032f058801df0c
00:00:08085;1;1a000013;0000000000000000
00:00:08089;1;1a000008;f3000000790c0000
00:00:08091;1;1a000007;27fa680491f224ea
00:00:08093;1;1a000006;63cf813740d02638
00:00:08094;1;1a00000c;a11afc2103d4b01a
00:00:08095;1;1a000003;fd032e058801df0c
00:00:08096;1;1a000013;0000000000000000
00:00:08100;1;1a000008;f3000000790c0000
00:00:08102;1;1a000007;28fa65045ff220ea
00:00:08103;1;1000001;646973636f766572
00:00:08103;1;1a000006;aaceae37e9cf2638
00:00:08105;1;1a00000c;b51afc21f799b01a
00:00:08106;1;1a000003;10042d058801df0c
00:00:08107;1;1a000013;0000000000000000
00:00:08111;1;1a000008;f3000000790c0000
00:00:08113;1;1a000007;2dfa740438f2d0e9
00:00:08114;1;1a000006;cfd0fe3852d0ce37
00:00:08115;1;1a00000c;ca1afc212f28801a
00:00:08116;1;1a000003;21042c058801e10c
00:00:08118;1;1a000013;0000000000000000
00:00:08122;1;1a000008;f3000000790c0000
00:00:08124;1;1a000007;23fa6e04cdf1d7e9
00:00:08125;1;1a000006;0ed0e2365dcfaf37
00:00:08126;1;1a00000c;d61afc212bbc801a
00:00:08127;1;1a000003;32042b058801e10c
00:00:08128;1;1a000013;0000000000000000
00:00:08133;1;1a000008;f3000000790c0000
00:00:08135;1;1a000007;25fa5a046df295e9
00:00:08136;1;1a000006;81ce853758cfaf37
00:00:08137;1;1a00000c;e01afc219314801a
00:00:08138;1;1a000003;41042a058801e20c
00:00:08139;1;1a000013;0000000000000000
00:00:08144;1;1a000008;f3000000790c0000
00:00:08146;1;1a000007;20fa610408f274e9
00:00:08147;1;1a000006;d6d0f036cecf5237
00:00:08148;1;1a00000c;e91afc219b5d4d1a
00:00:08149;1;1a000003;50042c058801e30c
00:00:08150;1;1a000013;0000000000000000
00:00:08154;1;1a000008;f3000000790c0000
00:00:08157;1;1a000007;1ffa6304c1f1c4e9
00:00:08158;1;1a000006;0ccfd53639cf3f37
00:00:08159;1;1a00000c;f81afc21c7bb4d1a
00:00:08160;1;1a000003;5d0428058801e20c
00:00:08161;1;1a000013;0000000000000000
00:00:08165;1;1a000008;f3000000790c0000
00:00:08167;1;1a000007;1bfa5a04e9f197e9
00:00:08168;1;1a000006;cdceee3747cf3b37
00:00:08170;1;1a00000c;fa1afc21d3eb4d1a
00:00:08171;1;1a000003;690426058801e40c
00:00:08172;1;1a000013;0000000000000000
00:00:08176;1;1a000008;f3000000790c0000
00:00:08178;1;1a000007;27fa5d043bf23ee9
00:00:08179;1;1a000006;52d05137fece3837
00:00:08180;1;1a00000c;fe1afc21930a4d1a
00:00:08181;1;1a000003;750427058801e20c
00:00:08183;1;1a000013;0000000000000000
00:00:08187;1;1a000008;f3000000790c0000
00:00:08189;1;1a000007;1efa5704dcf160e9
00:00:08190;1;1a000006;44cef836f7ce3737
00:00:08191;1;1a00000c;041bfc2167274d1a
00:00:08192;1;1a000003;800429058801e40c
00:00:08193;1;1a000013;0000000000000000
00:00:08198;1;1a000008;f3000000790c0000
00:00:08200;1;1a000007;22fa560439f232e9
00:00:08201;1;1a000006;83cf4f38edce3637
00:00:08202;1;1a00000c;061bfc2113484d1a
00:00:08203;1;1a000003;8b0429058801e50c
00:00:08204;1;1a000013;0000000000000000
00:00:08208;1;1a000008;f3000000790c0000
00:00:08211;1;1a000007;1efa5904d5f13be9
00:00:08212;1;1a000006;11d0e536a5ce2d37
00:00:08213;1;1a00000c;071bfc21fb624d1a
00:00:08214;1;1a000003;950428058801e50c
00:00:08215;1;1a000013;0000000000000000
00:00:08219;1;1a000008;f3000000790c0000
00:00:08221;1;1a000007;24fa4d045cf21ee9
00:00:08222;1;1a000006;a1cd1237a7ce2d37
00:00:08223;1;1a00000c;0c1bfc2133764d1a
00:00:08225;1;1a000003;9e042a058801e40c
00:00:08226;1;1a000013;0000000000000000
00:00:08230;1;1a000008;f3000000790c0000
00:00:08232;1;1a000007;1efa580426f20fe9
00:00:08233;1;1a000006;43cfee37d3ce3337
00:00:08234;1;1a00000c;0c1bfc210b7a4d1a
00:00:08235;1;1a000003;a7042a058801e40c
00:00:08236;1;1a000013;0000000000000000
00:00:08241;1;1a000008;f3000000790c0000
00:00:08243;1;1a000007;1afa4d04def134e9
00:00:08244;1;1a000006;46cd5a368ece2a37
00:00:08245;1;1a00000c;151bfc2117aa4d1a
00:00:08246;1;1a000003;af042a058801e60c
00:00:08247;1;1a000013;0000000000000000
00:00:08252;1;1a000008;f3000000790c0000
00:00:08254;1;1a000007;1efa54040cf2f9e8
00:00:08255;1;1a000006;8fcf8137c1ce3037
00:00:08256;1;1a00000c;131bfc2117aa4d1a
00:00:08257;1;1a000003;b70429058801e60c
00:00:08258;1;1a000013;0000000000000000
00:00:08262;1;1a000008;f3000000790c0000
00:00:08265;1;1a000007;1cfa45040af203e9
00:00:08266;1;1a000006;c9cdfa3680ce2837
00:00:08267;1;1a00000c;151bfc21c7b14d1a
00:00:08268;1;1a000003;be042c058801e80c
00:00:08269;1;1a000013;0000000000000000
00:00:08273;1;1a000008;f3000000790c0000
00:00:08275;1;1a000007;24fa620415f24be9
00:00:08276;1;1a000006;a7cf38383ccfd936
